,comment,label,start,end
0,イントロからもう好き過ぎる、こんなん絶対ライブで盛り上がるやつやん,"動画に関するコメント,動画に関するコメント","0,18","10,29"
1,雰囲気めちゃくちゃかわいい！早くフルでみたい🥺,動画に関するコメント,0,23
2,OPから可愛いが溢れてる💕\(//∇//)期待しかない✨✨✨プレミア公開楽しみにしてます🎉今夜のドラマも楽しみにしてます♪,動画に関するコメント,0,61
3,ドラマの最後に踊ってるのが可愛すぎるやつ！！楽しみ🥰,動画に関するコメント,0,22
4,さくちゃんの良さが引き出され過ぎてて、可愛さがあふれまくっている！Sayukiさんのカバーも今から楽しみ！！,動画に関するコメント,0,16
5,初めて、さくちゃんが作詞・作曲・振り付けを担当した曲なのに、素敵な曲で、元気が出ます‼︎恋ダンスに続いて、この踊り流行って欲しいです‼︎,アーティストに関するコメント,0,66
6,「努力はいつか報われること私が証明するから」歌詞が心に響く、、,動画に関するコメント,1,31
7,「努力はいつか報われる事、私が証明するから」の歌詞めっちゃ背中押された感覚しました。実は私将来の夢がボートレーサーになる事なんです。だから、この「ボートレースになりたい」っていうCMにもこのイメージソングにも感謝しています。ありがとうございます。将来の夢が実現出来るように日々努力し続けていきたいと思いました。,動画に関するコメント,0,42
8,さくちゃんと応援ソングは相性抜群過ぎるほんと頑張ろうと思える曲,動画に関するコメント,0,31
9,この歌詞、メンタルの強さを感じる。努力はいつか 報われること私が証明するから,動画に関するコメント,0,38
10,この曲ほんとにいい曲だよね〜！櫻子ちゃんの声とすごくあってて最高！,"動画に関するコメント,動画に関するコメント","0,21","10,32"
11,ALIVEといいSTARTLINEも勇気付けられる曲だー！さくちゃんが歌ってくれるからこそ歌詞と曲にさくちゃんの想いが入ってるてか、すごい綺麗になったさくちゃん！,"動画に関するコメント,アーティストに関するコメント","0,66","63,81"
12,たまたま、車の運転中にラジオで流れていたのですが、2番が流れたときに、ちょうど自分の考えている事と同じだと心に刺さりました。正直、大原さんの事は知らなかったので、誰が歌っているのか気になってたまらなくなり、探してしまいました。,"動画に関するコメント,アーティストに関するコメント","5,62","62,113"
13,Spotifyにニューリリースでオススメされたから、とっっっっても久しぶりに櫻子ちゃんの曲をきいた。イントロからすごく好みでグっと心をつかまれ、サビのメロディもすごい好き、なんか優しくてあったかい感じ？これは鬼リピしますわ、、、カノウソ以来あんまりきいてなかったけど、またいろいろ曲漁ってみようかな,動画に関するコメント,50,112
