	comment
0	「努力はいつか報われること私が証明するから」歌詞が心に響く、、
1	"「努力はいつか報われる事、私が証明するから」
の歌詞めっちゃ背中押された感覚しました。
実は私将来の夢がボートレーサーになる事なんです。だから、この「ボートレースになりたい」っていうCMにもこのイメージソングにも感謝しています。ありがとうございます。将来の夢が実現出来るように日々努力し続けていきたいと思いました。"
2	"この曲ほんとにいい曲だよね?！
櫻子ちゃんの声とすごくあってて最高！"
3	"ALIVEといいSTARTLINEも勇気付けられる曲だー！
さくちゃんが歌ってくれるからこそ歌詞と曲にさくちゃんの想いが入ってる
てか、すごい綺麗になったさくちゃん！"
4	"さくちゃんと応援ソングは相性抜群過ぎる
ほんと頑張ろうと思える曲"
5	CMで聴いて神曲だと悟った
6	"一度だけCMで聴けてめっちゃ嬉しかったです！さくちゃんだぁ！って叫びました??
大好きな一曲になること間違いなしです????
今個人的にすごく悩んでいる時期で、すごく勇気をいただきました??
本当にありがとうございます。
たくさん聴きます??"
7	"歌詞が心に直接届いて、想いも伝わるし、歌上手すぎるし最近嫌なことばかりだったけど本当に元気出ました。
ありがとう神曲だね大好き??????"
8	"やっぱり櫻子ちゃんは、唯一無二の歌声♪

伸びやかで美しい。
歌い出しから、引きつけてくれますねー♪"
9	"この歌詞、メンタルの強さを感じる。

努力はいつか 報われること
私が証明するから"
10	"自分はKiteさんと同じジャンルのダンサーで、大原さんを存じ上げないのですが、大変お上手だと思います。
手本の観察能力が高いです。また、自然と裏拍を意識しながら踊れているのはリズム感の異なる日本人では練習せねばできません。
音楽家なのでしょうか、リズム感が素晴らしいです。"
11	KITEさんが、櫻子ちゃんの良さを引き出してくれている。すごい楽しそう。ありがとうございます。
12	"櫻子さん、リズム感とセンスすごすぎますね。歌の上手い方はこういうことの飲み込みも早いんですね！
KITEさんの教え方、めっちゃ笑えるけど流石です。めちゃイケで岡村隆史さんに教えてた時も最高に面白かったのを思い出しました。"
13	"KITEさんの教え方面白く楽しい上に、上手すぎ?????
さくちゃんのダンス上達ぶりも尋常じゃない??????リズム感がズバ抜けてあるからなんやろなぁ??輝いてみえました??"
14	凄い吸収力！ライブでのかっこいいさくちゃんはもっともっと進化していくんだろーなー????
15	"ライブでも年々ダンスが上達しているのが素人目でもわかります！
凄いな～??"
16	"飲み込みが早いしダンスも上手だし、、櫻子ゃんは本当に才能しかない??
ポッピンラブ！も楽しみ??"
17	"ずっと笑顔で楽しそう??
踊れるのほんとかっこいいナ??"
18	"さくちゃんほんとにすごい?！
笑顔もありがとう！??大好き！??"
19	髪型がほんとにかわいい、、大好き
20	"ジャニーズハマったの初めてかもしれん
大橋くんめっちゃ惹かれる"
21	"全然ジャニーズ詳しくないけど
たまたまテレビでこの曲聞いて、
サビが頭から離れなくなりました！

リピートしそう、、、"
22	"なにわ男子っていい意味で「なにわ男子といえばこのメンバー！」って子がいないのがすごいよね。
全員が役割を持ってる感じがする。
でもこのメンバーといえばこれ、みたいなのはあるから個性はしっかりあるのがまた推せる

これから経験積んでパフォーマンスがもっと上がってきたら個人的にSMAP、嵐に次ぐ国民的アイドルになれるんじゃないかなって可能性を感じてる（（何様"
23	"やばい、Mステ見てからハマってしまってリピート止まらん
自分がこんなにキラキラアイドル好きになると思わなかった"
24	"男性アイドルグループ戦国時代ではある。
でもジャニーズ事務所だけが、私の人生に「なにわ男子」という素晴らしい贈りものをくれた。"
25	やべぇ好きになりそう男子だけど
26	藤原丈一郎さま、オリックスバファローズ優勝おめでとうございます！！優勝の瞬間を現地で見てきました！(楽天イーグルスファンより)
27	JUMP担ですが、なにわ男子のレーベルがJUMPと同じJ-stormということで見に来ました！！全員笑顔が素敵すぎてハマりそう、、、
28	いつの間にか大橋君の歌声とダンスの虜になってた・・・CD予約しました??
29	"オリックス優勝記念に初心LOVE聞きに来ました。
丈くんおめでとう??
デビューとオリックス優勝のどっちの夢も叶ったね。"
30	"よし決めた、やっぱCD買う?????♀?
(ティアラだけどなにわの沼に片足突っ込んでるw)"
31	「なにわ男子とともにあれ」の歌詞が、これからもっと遠い存在になるようで近くにいるよって感じに聞こえて、とっても嬉しかったです????ほんとになにふぁむでよかったって毎日思ってます！これからみんなお仕事増えちゃうけど無理しすぎす頑張ってね！
32	なにわ男子には嵐やV6みたいに最後まで誰一人抜けないでずーっと仲良しなグループでいてほしいな。
33	"なにわ男子の素敵なところはただただ前向きなオーラで溢れていて見ていて元気がもらえるところ
本人たちが楽しいエンタメを届けようと全力で頑張ってくれているのが伝わる"
34	はあ、シンメか、大吾くん1人かな、さみしいなって思ってたら隣に丈くんいて肩組んでくれて、同じグループの年長組としてなにわのことたくさん考えて引っ張ってくれるのこの2人でよかったって思った??????????????
35	I'm smiling the whole time I'm watching this MV. ??????????????
36	Son muy lindos y sus voces suena genial
37	Gosto de como o MV ? alegre e colorido.?? S?o t?o talentosos!?? Apaixonada por seus vocais?
38	これカップリング曲じゃなくてシングルで出しても売れるレベルで良い??
39	"男女問わずいろんなアイドルを見て自分には女性アイドルにしかハマることができない人種だと受け入れて生きていたけど、今日この曲を聴いて新しい扉が開いた気がした。
めちゃくちゃ良かった...これは沼"
40	頭脳派が数いるなにわ男子なのに人狼で強いのがきょーへいっていう事実がなにわ男子の平和さを表してて好き。
41	Lチキの話で、目の前にあったら買っちゃうから「置かんといてほしい」じゃなくて「遠くに置いてほしい」になる大西さん、やっぱりコメント常に満点アイドル。というか、そういう言葉選びできるの普通に素敵な人すぎる。
42	消えた初恋の1話を見て、道枝さんの顔面の煌めき具合に恐れ慄き、いつの間にかここに辿りついてしまったのですが、全員顔面が良すぎてビビり散らかしてます…なんなん？このグループ…顔がキラキラしすぎてる上に関西弁で面白い…だと？落ちんぞ、俺は落ちんぞ。
43	"丈くんは大吾くんのこと
「大吾はそんなにアホちゃうやん！」って日頃の絶対的信頼感じたww  エンドレス最高！！！"
44	"ジャにのチャンネル見てて、ジャニーズで1番面白い先輩は？の質問で、一位の方の名前存じ上げなくて調べてここに行き着きました！????
丈一郎さんめちゃくちゃ面白いしなんならなにわ男子ってこんなに面白くてイケメンしかいないんですね……"
45	"謙杜くんが恭平くんに「こいつに聞いてもしゃーない」がツボ(笑)
めちゃくちゃオモロかった！Sな謙杜くん見れたし????"
46	"本当に毎回思うけど、なにわ男子はカッコいい、可愛い、面白い、天然、トーク力、テンポ
全てがレベル高くて見ていて本当に楽しい"
47	丈くんが回さなければ笑いを作れなかったところから始まったグループが今ではみんなして丈くんにネタを振れるようになって…(号泣)これからも七人のペースで進んでいってね…私はローソンへスイーツを買いにいってくるから…
48	エンドレスが「大橋(はっすん)プレミアムロールケーキ好きやから」で大橋くんが狼じゃないと判断するの、兄組の関係性が見えて最高でした??
49	流星くんに「信じてくれへんねや・・・」って言われて「そんなん言われたら信じたくなるやぁん！！」って甘々な謙杜くんほんとに流星くんのこと好きすぎてたぴおかちゃんForever
50	"▼10周年ベストアルバム ｢BEST of Kis-My-Ft2｣配信・購入サイト
https://avex.lnk.to/BESTofKis-My-Ft2

「BEST of Kis-My-Ft2」に収録される10周年記念作品「A10TION（読み：アテンション）」の
Music Video YouTube Edit を公開！

「注目」の一つとして、これまで10年間のMVで用いられたセット・美術装飾品・キャスト・振り付けの一部などが、
計53アイテムも今回の「A10TION」MVの中に登場します！
-YouTube Edit-でも30個以上散りばめらていますので、是非何度もチェックして見つけてみてください！

▼BEST of Kis-My-Ft2 予約
https://avex.lnk.to/BESTofKis-My-Ft2

▼【Kis-My-Ft2】10th Anniversary [再生リスト]
https://bit.ly/3eVjzYd

▼BEST of Kis-My-Ft2 アルバム詳細
https://avex.jp/kismyft2/discography/detail.php?id=1018406

▼Kis-My-Ft2 Official Website
https://avex.jp/kismyft2/

▼Official Twitter
https://twitter.com/kmf2_0810avex?s=21"
51	このグループは絶対にトップに行くグループだよ。
52	"金スマから来た者です。
ジャニーズ詳しくないのですがキスマイスペシャルずっと見入ってしまいました??
お恥ずかしながら初めて聴いた曲だったのですが凄く感動してすぐ検索しました！こんないい曲あったんだなと…
そしてデビュー10周年おめでとうございます??応援しています！"
53	今日体育祭練習があって今年の開会式の入場曲が「A10TION」でした！！大好きなキスマイがかかってくれて嬉しかったです10周年になってもこれからずっと応援し続けます！！
54	"エビ中ファミリーです??
10周年ほんとにおめでとうございます！！
たくさんのファンの皆さんの温かさを感じました。
素敵な楽曲に出会えたことに感謝しかありません????"
55	「道しるべ」この5文字だけで色んなこと思い出す。格差グループから、中居さんに作ってくれたもらった舞祭組をキッカケに、キスマイが最強の武器を手に入れて、泥臭く頑張ってくれた4人には感謝。かっこいいを守ってくれた3人にも感謝。キスマイが大好きすぎる??????
56	"アイドルにもジャニーズにも全く興味がない人生だったのに、キスマイにハマってしまいました??
だから、きっとこの先どこまでもキスマイ一択しかないのです??
デビュー10年経って、そんな新規ファンをつくれるキスマイは特別なグループなんだろうなぁ??"
57	SMAP、嵐、の次はキスマイだと思っています。ずっと7人で居てくれてありがとうございます??だいすきだあーーーー！！！
58	"LINE MUSICでエンリピしていたらとても良い曲でMVも気になったのでお邪魔させて頂きました!!
MVもすごく明るくてめっちゃ歌詞にあってるなって思いました!!??
「溢れる笑顔やその声が」「いつだって君がいた」など、キス担へ向けた歌詞が多くてとても10周年一緒に歩んできたんだなーって伝わる曲ですね!!(語彙力なくてすみません)

エビ中キャンペーン終わったら他の曲もたくさん聞きます！！??????"
59	前もコメントしたんですが、妹と弟が運動会でこの曲踊って、退場はThank youじゃんでした??キスマイ続きでびっくり( °_° )
60	"「Luv Bias」をLINE MUSICで聴く
??https://lin.ee/jPBKzSH

2021年12月15日発売
LIVE DVD & Blu-ray「LIVE TOUR 2021 HOME」
「Luv Bias」ライブ初パフォーマンス映像収録???

詳細はこちら
??https://avex.jp/kismyft2/discography/detail.php?id=1018652

ご予約はこちら
??https://avex.lnk.to/KMF2LIVE_HOME2021

#KisMyFt2 #キスマイ #ラブバイ #ボス恋 #キスマイHOME"
61	"４４歳のおじさんです。
スポーツジムの中で流れていて、歌詞をメモっておいてググってたどり着きました。
世の中これだけたくさんの歌があるのに、まだ神曲って生まれるんだな～と思いました。
それにしても、玉森君？って同じ男から見ても惚れ惚れするイケメンやな～！"
62	ここ最近のジャニーズの中で1番神曲だと思う
63	"この曲を紅白で歌う7人を見たら泣いちゃうかも
1300万回再生おめでとうございます。"
64	キスマイはもっと売れていいんだよ、、??
65	"スト担です。
なんかのテレビで1人ずつ歌うやつ見てめちゃくちゃ刺さりました。ファンではないですがめちゃくちゃ応援したくなりました！！"
66	ジャニーズの曲あんまり聞いたことなかったけど、この前の金スマ見てからキスマイさんだけはなんか応援したい気持ちになった。この歌めっちゃいいなって思ったから、再生回数増やすくらいしかできないけど微力ながらに応援してます
67	この曲聴く度ドラマを見返したくなる、、、ドラマも曲も最高なのよ、
68	"2歳の息子が、とてもこの曲を気に入ってます。
動画流すと最後まで夢中になって見てました。
子育て楽になりました。"
69	"キスマイは認知層がここ数年確実に広がっていると思うし、もっと人気が出ていいはずのグループだと思う…
夢の国立に行けるまでずっと応援し続けます…！キスマイ売れろ?????"
70	次々と来るゲストに対して1人1人をしっかり立てて話を盛り上げるももクロ、さすがのホスピタリティですね…！
71	堀が鉄板の夏菜子呼びするときにしっかりマイクに寄ってるのにプロを感じた笑
72	"自分用（冒頭カット対応済）
00:00　配信スタート　ももクロとゴボウ
7:40　2代目シンデレラ登場　東北産かあやと美海ちゃんも登場
16:14　エビ中真山と彩ちゃん登場
22:37　ばっしょー瀬田ちゃんきいなちゃん愛ちゃん登場
32:05　理事長の紫に初めて可愛い子が来たぞの話?クラポいぶいぶ愛理ちゃんさほるんりなてぃ登場
42:50　ukkaあやめちゃん茜空ちゃんりじゅちゃんもあちゃん登場
54:19　アメフラ愛来と萌花、b.o.l.tるんぱんとちぃちゃん登場（後半に堀乱入）
1:06:47　超とき宣ひとか、ひよりん、おはる、かなみん登場（れにちゃん壊れる）
1:18:45　たこ虹全員登場
1:35:04　ゴボウよりニッポン放送の大事なお知らせ　?ゴボウ離脱
1:37:17　ももクロ4人で締め"
73	あーりん世代交代じゃないよwww まじでバッサリ言っちゃうとこ好き
74	"最高です。これが見たいんです。
玉さんが仕切って、元たこ虹vsとき宣バトルとか至極な夢を描いてます。バックでれにちゃんがもだえてる感じでｗｗ"
75	ももクロの4人がメディア慣れしてない後輩の足りない部分をギャンギャンフォローしてんのが熱いなー、とくにしおりんw
76	"堀さんがマジで優秀過ぎる。
尻文字でしりは今年一笑ったわw"
77	"いぎなり東北産のかれんちゃんシンデレラおめでとう??
播磨、るんぱん、堀はももクロちゃんから好かれてるんだね
毎回話題に出てくる
いぎなり東北産、ukka、ばってん少女隊、播磨がお気に入りだな??
歌、踊り、トークも面白くていいね??"
78	堀さんの夏菜子(呼び捨て)芸がまた見れた(笑)
79	"とき宣のひよりんの目配りが流石です。カメラをいいタイミングで向けています。
ひよりんが優しい声で引っ張っているので、グループ全体的が強いロックになっていないと言う意見があり、感心しました。
かなみんのさり気ないアクロバットも何となくエッという驚きの感じです。"
80	水色の子の｢狙い撃ち｣が何度聴いても鳥肌立ってやばすぎ、惚れた…。
81	"事務所の力もなく、AKBがゴリゴリに幅きかせてる時代に、たった6人で真っ向勝負を挑んでたんだぜ…？
いま思うと凄いよな。"
82	AKB全盛期と張り合えたのは本当に凄いと思う。
83	"早見あかりが本当に綺麗…
アイドルのイメージが定着する前に女優に転身したのは本当に正解だと思う"
84	こんなに昔からアイドルやってんのに、今でもドームとかを満員にしたり、チケットの争奪戦が起こるとか凄すぎだなぁー
85	メジャーデビュー曲でメンバーの名前入れたのマジで頭いいと思う。
86	"全ドルオタの中でこれ歌えない人いないんじゃないかレベルで有名だよねこれ、、
私ももクロかじったことも無いし全員の名前言えないけどこれは踊れるし歌える
ドルオタの校歌みたいすごいほんとに"
87	いつ見てもこれがアイドルだなって思う
88	当時は気付かなかったけど今見ると全員めちゃくちゃ可愛くて顔面レベル高いやん…
89	"高校の音楽の教科書にAKBといっしょに
この子たちが載ってました！
本当に平成を代表するアイドルなんだと思いました
令和でもずっと輝き続けてください！"
90	"字幕をONにすると歌詞が表示されます??
(Turn on subtitles, lyrics are displayed!)
(?Encienda los subt?tulos, se muestran las letras!)

Appare (Hooray) for the Japanese people(& people all over the world)??"
91	"ここ最近のMVの中で一番気合い入ってて豪華でめちゃくちゃ素敵?
あーりん猫可愛すぎる????"
92	I know about this group since elementary school.. About 14 years ago. It's really cool to see them still active.
93	"This song is like someone bottled up pure happiness, and gave it to us."
