,comment
0,"え、この曲最近またハマってて聴いてたからMV公開なんて嬉しすぎる😭✨
この曲ほんとに歌詞もメロディーも振付まで可愛いし小学生の頃大好きだったなあ、、わたしの青春の曲"
1,Que nostalgia. Las amo mucho ♡ siento que he crecido con ustedes
2,曲も衣装も振り付けもMVのこの空間もメンバーみんなも完璧に可愛くて最高に大好きな呼び捨てファンタジーの良さもっと広がれ〜〜
3,こういうキラキラしたアイドル戦闘力とんでもねえ高い曲大好き
4,"ずっと大好きな曲なので嬉しい😭😭
メロディも衣装も歌詞もMVの世界観も全部いい………まゆゆきりんってやっぱり最高ですね……………"
5,"麻友ちゃんかわいいなぁ…
芸能界引退してしまったけど、それでもやっぱり麻友ちゃん以上に好きになれる子いなくて、昔のMVとか、過去映像の映り込み(今はそれも減ってきたけど…)見ると好きが溢れる（ ;  ; ）"
6,Yukirin and Mayuyu first two lines are very iconic.
7,"Yobisute Fantasy es una de las mejores canciones que tiene AKB, la he escuchado tantas veces pero aún así no me canso de escucharla.

Las primeras líneas son las más iconicas. 🥰"
8,si pudiera resumir mi infancia sería esta canción TT
9,"これ確かにいい！！背景や色の使い方などおとぎ話の中にいるみたい・・
さらに、みんながすごくかわいい！！"
10,"カラオケで歌うと
AKBの曲ほぼ知らない人も
めちゃくちゃ乗ってくれる奇跡の曲🥰✨"
11,どんなに売れても劇場で歌っていますってのはホントいいよなぁ。
12,初代チームBではないけどこの神曲が映像として残ってることがほんとにうれしい、、、！！！
13,この曲一回聴いただけでもリズムが頭に残るから中毒性ある☺️
14,この曲一回聴いただけでもリズムが頭に残るから中毒性ある☺️
15,これは普通に覚えやすいし好きだったな〜
16,大好きな時代の大好きな曲で泣いてしまった……teamBしか勝たん……まだAKBでいてくれるゆきりんのおかげで今のteamBも最高って知れたしAKBモチベ高い今公開されたのとっても嬉しい……ありがとう……ありがとう……
17,「推し」という言葉を世の中に定着させたと言っても過言ではない曲
18,何年経っても色褪せない神曲ほんと好き
19,"この歌が大好きで聴いていた時は小学校低学年くらいだったのに、もう大学生になりました🥲
久しぶりに聴いたのに、歌詞を覚えていた事になんだか感動しました😭"
20,"As sousenkyo senbatsu c/w songs go, this may be the most star-packed one with so many great members and personal faves. To do this in one take is great, and Reinyan sticking with the take was cute! Another poppy song with such a sad story. Tears when I hear this again, how most are gone and how the time flies. Thanks for uploading!"
21,歌詞がまたいいんだよなあ。梅ちゃんの歌声と笑顔と相まってすばらしい楽曲だと思う。
22,歌詞、曲、MVすべてにおいてAKB史上最高レベルの一曲だね。
23,"カップリングリクアワと聞いて、この曲が真っ先に思い浮かびました！
AKB全体でもトップクラスで好きな曲です。
梅ちゃんのセンターきらきらすぎるし、みんな映ってて、曲もMVも神!!!"
24,"曲、歌詞、PV、衣装、そしてメンバー、どれも好きすぎて、終わりに近づくにつれ切なさが増すんだよなぁ…😭一本の映画のような一日のライブのような、完成された空間。この曲はずっとずっと好きです。

3:05  そして後の全員SKEである"
25,この曲以外には考えられない位の名曲中の名曲‼️せつないメロディーと秋元先生の作詞した言葉が身に染みる‼️特に1番の歌詞が秀悦です。2人のリアルな情景が思い浮かびますAKBからNMBで卒業したセンター梅ちゃん、梅田彩佳の代名詞的で大切で大事な歌です。今回このカップリングリクアワの企画個人的に、心揺さぶられ感動する楽曲の素晴らしさから1番に評価したいと思います。
26,AKBの中でも数少ない全員が平等に映ってるmv、好きだ〜〜、、
27,"この曲は、その年だけで終わらず、センターだった梅ちゃんが大事に育てた楽曲でしたね！
メンバーも強い人ばっかりだったし、名曲の一つとなってますね！"
28,"センターの梅ちゃんをはじめ、SKE・NMBのエース級とAKBのいぶし銀・次世代のメンバーの入り混じった、
全員が素晴らしいアンダーガールズの曲。（選抜は「フライングゲット」）
楽曲がAKBの中でも最高峰の出来だと思うし、MVも一発撮りというギミックが面白く、全員可愛く平等に映っているという作品。"
29,"曲やメンバーが素晴らしいのはもちろんだけど、ここまで全員がしっかり映ってるMVは当時珍しかったので、感動した覚えがある
ワンカット撮影の一体感もいいし、なのに衣装のパターンが多くていろんな推しを画面いっぱいに観られるし、ほんといいMV"
30,"10月26日(火)発売V6ベストアルバム！
https://avex.lnk.to/v6bestalbum

10月26日発売ベストアルバム、
初回盤A収録「Full Circle」のMusic Videoを公開！

▼V6 playlist
https://youtube.com/playlist?list=PLgtRDsudgFDC6oNVPdeP08NbcB5L1KVF-

▼商品紹介
https://avex.jp/v6/discography/detail.php?id=1018569

▼V626Twitter
https://twitter.com/V626_avex"
31,"解散しないでくれ…
この曲で俺ハマったんだよ…
遅くなったのは悪いけど頼むって…"
32,どう考えてもジャニーズの最高到達点。自分は関ジャニのファンだけど、V6のジャニーズタレントとして、アイドルとして、アーティストとしてのレベルの高さは今後誰も超えられないと思う。V6の長い歴史が終わりを迎えるのは寂しすぎるけど、自分が応援してるグループにも終わりが来るとしたらこんな風に幕を閉じてほしいなと思わせてくれる先輩の偉大な姿だと思った…V6の楽曲とかバラエティ番組、大好きでした！それぞれの道に進んでも応援します。
33,推しでも特別ファンでもなかったのに、YouTubeでこの曲見つけてから頭から離れなくなって。他のMVも LIVE映像も全部観て、V6とファンが創り上げてきた世界観に圧倒された。やり遂げる姿とはこんなにも力強く、美しいものなのかと感じさせてくれる。ここのコメント欄もあったかすぎて、うるっとします。新しいコメントが書かれていないか、定期的に見に来るようになり、ついに自分もコメントしようと思って、書き込みました。最後のアルバム予約して、配信ライブのために仕事の休みもとりました。コロナ禍で塞ぎ込んでた自分に勇気と希望を与えてくれたことに感謝でいっぱいです。最後まで進み続ける姿、しっかり目に焼き付けます。
34,"実験的に6人が集められ、年齢差も前例がない。当時新進気鋭のavexとレーベル契約して、ジャニーズラップの礎を作って、6人それぞれの道を拓いて後輩の道を作ってくれた。26年かけてたくさんの新しい風を吹かせてくれた6人に感謝。
11月1日が来て欲しくないと何回も考えたけど、前を向き続けてる6人を見てそんなこと思ってらんないと最近思えるようになりました
これからの6人も楽しみで仕方がないです！"
35,解散する曲じゃないよ。新章が始まりそうな曲。さすがV6。
36,"改めて、V6は露出が少なかったのだと思った。
コメント欄を見ても、この1曲だけでV6のカッコ良さを分かってくれる人がたくさんいる。

もっとたくさん地上波で披露していたら…

でも…そこがV6なんだよね。"
37,V6のファンでもなんでもないんだけど、広告で流れてきて初めて広告スキップしなかった。めっちゃかっこいい。曲がいい。MVもよくできててかっこいい。すんばらしい！
38,"たまたま広告で流れてそれから虜です。

カッコつけなくても大人なカッコ良さが
6人から滲み出てて何度も見ても聴いても
毎回毎回惹かれます🥺

学校へ行こう、必ず毎週楽しみに小学生の頃
見てたなぁ〜と思い出しました。
最後のアルバム買います！！！"
39,自分も、この曲でV6のファンになりました。男性のファンが多い事に驚きました。解散しないで欲しい。この曲メッチャ格好良すぎ！
40,京本くんのペーパー脱却運転のときも思ったけど、普段なら強めにいきそうなメンバーでもこういうときにめちゃくちゃ優しく声かけてくれたり周り見ながら誘導してくれるの関係良すぎて幸せな気持ちになった
41,樹ちゃん、普段メンバーには「お前」とか言ってても、目上の方への礼儀や敬語が完璧👏「お話させて頂いた」「お休みあったら何されるんですか？」とかさらっと言えるのさすがだし安心して見てられる。
42,SixTONESのドライブ企画のときみんなで確認して、運転する人に感謝もするのがいいよね
43,"もう、この会話一生聞いていたい笑
元気ないとき定期的に見るわ笑
腹抱えて笑った💎💎💎💎💎💎
車の壁になって眺めていたいよね笑"
44,"最初心配してたのに、喋りながら余裕で運転する北斗最高だしすごすぎる- ̗̀👏🏻  ̖́-
石にパワー込めてもらう時、ちょっと遠慮がちに渡すきょもも可愛すぎた⸜❤︎⸝‍"
45,"ストみんな、周り確認してくれて北斗にアドバイスしてくれて優しい😭💗

そして北斗担からしたら、北斗の運転見れて嬉しい！！！！！
ペーパー歴感じさせない運転カッコ良い😭💗"
46,慎ちゃん、末っ子とは思えないくらいしっかりしてて、ちゃんと周りが見えてるよね。いま、自分は控えめにいくべきか、思いっきりいくべきかちゃんと分かってるのがもう愛おしい🥺
47,"概要欄で察してはいたけど、ヒカキンさんが想像以上に困ってて笑った
SixTONESのノリって独特だから最初はだれでも戸惑いそう"
48,"SixTONESが陽キャすぎる
車内ゲームであれだけ盛り上がれるの最高
運転不慣れな北斗には手厚いフォローするのもさすがSixTONESって感じ"
49,初対面の人の運転する車に乗るだけでも怖いのに、ギラギラ陽キャの中に放り込まれた上によく分からんゲームまで付き合ってくれるHIKAKINさんの心の広さよ🤣
50,"スト担になって毎日楽しい
SixTONESに出会えて本当によかった
MV楽しみにしてます😊"
51,FNSのパフォーマンスが頭から離れないくらい感動だったから本当にMV楽しみにしてた……！！！！楽しみすぎるー！！！
52,"その6人は""ヒーロー""か""ヴィラン""か
概要欄カッコ良すぎるよ、、team SixTONES最高😭😭😭😭💖💖💖"
53,"そろそろ来るかなと思って待ってました👏
FNSでのRosy初披露でカッコ良すぎて脳天どつかれたくらいの衝撃くらったのでMVもまちないない。"
54,SixTONES💎💎💎💎💎💎
55,SixTONES最高。公開前から素敵すぎる（？）
56,ほんとにSixTONESと過ごす日々は毎日がサプライズすぎる。いつも幸せをありがとう！！！
57,"待ってたよ！！
このMVで世界にSixTONESは最強って見せつけてやろうぜ！！！！！！"
58,FNSでRosyのパフォーマンスにやられた。カッコいい。SixTONES最強。
59,いつもカッコよかったり近未来感だったり儚かったりの系統で毎回MVの初解禁楽しみにしてるんですけど、今回のは本当に凄い感じの系統できそうだからめちゃくちゃ期待
60,"こんなにまーちゃんフィーチャーしてくれて本当にありがたい・・・
その上で各メンバーの見せ場もちゃんとあるし、まーヲタでDマガ好きからすると感謝しかない・・・しかも200分以上・・・"
61,"娘。を卒業したら佐藤優樹が佐藤優樹を造っていくんだよな
今後どんな形になるか分からないけど、東京にいようが北海道にいようが芸能界に留まろうが一般人になろうがずっとまーちゃんの幸せを願ってるよ！"
62,"Dマガ卒業スペシャル、いよいよ卒業間近なんだって改めて気付かされる…
メンバーと楽しみたい！というまーちゃんの思いを存分に汲んでくれたDマガですね
0:01 立派な椅子に座ってるお嬢まーちゃんと隣に立つ執事あゆみ、みたいな構図で面白いｗ
2:42 あかねちん声がスカスカだけどどうした！？"
63,なんとなくなのだけど、佐藤優樹はここからスタートしそうな予感と期待。
64,"ヤバいこれだけでも泣いちゃう
どうしよう！どうなっちゃうんだろ"
65,2:08 全然意味わかんなくて笑った、かわいすぎかて笑
66,1:22まーちゃんがこうゆうのでみんなと同じ普通のリアクションするのめちゃめずらしいよね笑
67,"個人的なことをいうと最初金欠でこのマガジン泣く泣く買うことをあきらめていたのですが、これを見た瞬間どうにかして買わないと後悔するなと確信つきました。
まーの卒業はやはり寂しい・悲しいし、何となく実感がわいてきました…
とりあえずこれを買って見てしっかり泣かせていただこうと思います・・・"
68,"買いますね。買います買います。
対決ってところがモーニングっぽいけど、内容はしっかり卒業っぽくて、4分弱の動画でメンバー誰も泣いてないのに泣きました。。。。。"
